HH Profile_ID,Referral Code,HH Profile_Status,Registration_Date,Update_Date,Calculation_Date,Confirmation_Date,FirstOtp-Registration_Time,Registration-Underwriting_Time,Registration-Confirmation_Time,Registration-Calculation_Time,Calculation-Confirmation_Time,Scheme (AFF),AFF,Max Aff,Min Aff,EAS,Result,S01_Income,S02_Occupation,S03_Position,S04_School,S09_Electricity bill,S10_Nb_Members,S11_Phone brand,S13_Hospital,S15_Home ownership,S16_Urban type,S17_Residency,S18_Nb_Properties,S19_Private insurance,S20_Loan type,Q01_Income,Q02_Occupation,Q03_Position,RQ04_School,Q09_Electricity bill,Q10_Nb_Members,Q11_Phone brand,RQ13_Hospital,Q15_Home ownership,Q16_Urban type,RQ17_Residency,Q18_Properties,Q19_Private insurance,Q20_Loan type,Q23_Nb_Dependents,Q24_High treament cost
2,24QY175,CONFIRMING,10/01/2024 14:39,12/01/2024 13:57,12/01/2024 13:57,,00:44:23,00:09:31,,47:17:57,,Able to afford with PAP scheme A,23.650085,30.4,20.3,5 (Upper),5.33169,3,3.63,4.03,3,5.4,5.8,6.2,6.2,3.8,5.4,6.2,6.2,6.2,6.8,240,Lao động tự do,Quản lý cấp trung,Không,688.000,3,Apple,Class 4,Có,Class - Special / 1,Sở hữu Nhà phố nhỏ,Sở hữu 1 ngôi nhà khác,Không,Có khoản vay khác,0,0
3,24QY175,RE_APPROVAL,10/01/2024 15:59,19/01/2024 09:33,,,01:35:34,00:03:53,,,,,27.788633,30.4,20.3,5 (Upper),5.74145,3,3.63,3.63,3,6.2,6.6,7,7,3.8,5.4,5.4,7,7,7.6,300,Nhân viên văn phòng cho cty vừa và nhỏ,Nhân viên,Class 7,763.000,3,Apple,Class 4,Có,Class - Special / 1,Sở hữu Nhà của nhiều hộ gia đình,Sở hữu 2 ngôi nhà khác,Không,"Có khoản vay mua nhà, mua ô tô",0,0
4,24QY175,CONFIRMED,10/01/2024 19:13,12/01/2024 10:44,12/01/2024 10:37,12/01/2024 10:44,00:23:38,00:15:05,39:31:11,39:24:47,00:06:24,Able to afford with PAP scheme B,17.120924,20.3,15.4,4 (Upper-Middle),4.35121,2,2.42,2.42,2,5.2,5.2,5.6,5.6,2.8,4.4,5.2,3.6,3.6,3.6,180,Khác,Nhân viên,Class 7,765.000,4,Apple,Class 4,Có,Class - Special / 1,Sở hữu Nhà phố nhỏ,Không sở hữu ngôi nhà thứ hai,Không,Không có bất kỳ khoản vay nào,4,0
5,24QY175,CONFIRMED,10/01/2024 21:33,12/01/2024 19:26,12/01/2024 17:29,12/01/2024 19:26,06:18:58,00:25:13,45:53:30,43:56:36,01:56:54,Able to afford with PAP scheme C,13.446779,15.4,10.2,3 (Middle),3.62438,2,2.42,2.42,2,3.6,4,4.4,4.4,2.8,4.4,3.6,2,3.6,3.6,232.68,Nhân viên văn phòng cho cty vừa và nhỏ,Nhân viên,Không,562.000,3,Apple,Class 4,Có,Class - Special / 1,Thuê Nhà của nhiều hộ gia đình,Không sở hữu ngôi nhà thứ hai,Có,Không có bất kỳ khoản vay nào,0,0
6,24QY175,CONFIRMED,11/01/2024 08:19,17/01/2024 20:13,17/01/2024 20:10,17/01/2024 20:13,00:25:18,01:10:03,155:54:13,155:50:23,00:03:50,Able to afford with PAP scheme A,21.974932,30.4,20.3,5 (Upper),5.16583,4,4.84,5.24,4,4.8,4.8,5.2,5.2,4.8,6.4,6.4,4.8,6.4,6.4,360,Nhân viên văn phòng cho cty vừa và nhỏ,Quản lý cấp trung,Không,397.000,4,Apple,Class 4,Có,Class - Special / 1,Sở hữu Nhà ở nông thôn,Không sở hữu ngôi nhà thứ hai,Có,Không có bất kỳ khoản vay nào,0,0
7,27DHYDHCM,CONFIRMED,11/01/2024 10:42,15/01/2024 18:31,15/01/2024 18:00,15/01/2024 18:31,00:31:54,00:01:42,103:48:57,103:17:54,00:31:03,Able to afford with PAP scheme B,17.861898,20.3,15.4,4 (Upper-Middle),4.50243,2,2.42,2.42,2,6,5.6,5.6,6,2.8,4.4,4.4,4.4,4.4,3.8,120,Lao động tự do,Không có / Chức vụ khác,Không,1.309.000,>4,Samsung / Vivo / OPPO,Class 3,Có,Class - Special / 1,Sở hữu Nhà của nhiều hộ gia đình,Sở hữu 1 ngôi nhà khác,Không,Có khoản vay tiêu dùng,0,0
8,19UBDN,CONFIRMING,11/01/2024 14:04,17/01/2024 16:00,17/01/2024 16:00,,01:27:09,00:32:37,,145:56:06,,Able to afford with PAP scheme A,>=65,>=65,>=65,10 (Very High),10.2195,6,7.26,8.06,10.8,11.6,12.4,12.4,12.4,6.8,6.8,8.4,6.8,8.4,8.4,2520,Chủ doanh nghiệp,Giám đốc,Class 2,436.000,2,Samsung / Vivo / OPPO,Class 4,Có,Class - 4 / 5,Sở hữu Nhà phố lớn,Không sở hữu ngôi nhà thứ hai,Có,Không có bất kỳ khoản vay nào,0,0
9,19UBDN,DOCUMENT_NEEDED,11/01/2024 14:09,18/01/2024 14:38,,,02:18:55,00:15:28,,,,,14.207775,15.4,10.2,3 (Middle),3.77073,1,1,1,1,5,5.8,5.8,5.8,1.8,1.8,2.6,1,1,1,0,Kinh doanh có giấy phép,Không có / Chức vụ khác,Không,1.124.000,2,Samsung / Vivo / OPPO,Class 4,Có,Class - 4 / 5,Sở hữu Nhà phố nhỏ,Không sở hữu ngôi nhà thứ hai,Không,Không có bất kỳ khoản vay nào,0,0
10,19UBDN,CONFIRMED,11/01/2024 14:14,16/01/2024 19:09,16/01/2024 18:16,16/01/2024 19:09,03:20:14,00:09:49,124:54:30,124:01:25,00:53:05,Able to afford with PAP scheme C,11.163853,15.4,10.2,3 (Middle),3.18536,2,2.42,2.42,2,3.6,3.6,3.6,3.6,2.8,4.4,4.4,4.4,4.4,4.4,120,Khác,Không có / Chức vụ khác,Không,500.000,4,Samsung / Vivo / OPPO,Class 4,Có,Class - Special / 1,Sở hữu Nhà ở nông thôn,Sở hữu 1 ngôi nhà khác,Không,Không có bất kỳ khoản vay nào,0,0
12,24QY175,DOCUMENT_NEEDED,11/01/2024 15:08,11/01/2024 17:19,,,01:29:49,00:12:00,,,,,24.192022,30.4,20.3,5 (Upper),5.38535,4,4,4,4,5.6,6.4,6.4,6.4,4.8,4.8,4.8,4.8,4.8,4.8,360,Nghỉ hưu,Không có / Chức vụ khác,Không,567.000,2,Samsung / Vivo / OPPO,Class 4,Có,Class - 4 / 5,Sở hữu Nhà ở nông thôn,Sở hữu 1 ngôi nhà khác,Không,Không có bất kỳ khoản vay nào,0,0
13,31UBCT,CONFIRMED,11/01/2024 15:22,17/01/2024 11:37,17/01/2024 11:33,17/01/2024 11:37,00:34:37,00:23:25,140:14:52,140:11:14,00:03:38,Able to afford with PAP scheme B,15.184358,15.4,10.2,3 (Middle),3.95853,1,1.21,1.21,1,5,5.4,5.8,5.8,1.8,1.8,2.6,4.2,4.2,4.2,84,Làm nông,Không có / Chức vụ khác,Không,984.000,3,Apple,Class 4,Có,Class - 4 / 5,Sở hữu Nhà phố nhỏ,Sở hữu 2 ngôi nhà khác,Không,Không có bất kỳ khoản vay nào,0,0
14,19UBDN,DOCUMENT_NEEDED,11/01/2024 16:11,18/01/2024 14:39,,,01:06:55,00:03:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,,,,,,,,,,0,0
15,31UBCT,DOCUMENT_NEEDED,11/01/2024 20:04,18/01/2024 16:24,,,00:32:08,02:47:12,,,,,5.087779,5.1,0.1,1 (Very Low),1.99756,1,1.21,1.21,1,1.8,2.6,2.2,2.2,1.8,1.8,1.8,0.2,0.2,0.2,18,Làm nông,Không có / Chức vụ khác,Không,211.000,2,"Khác (Xiaomi, Realme, ...)",Class 4,Có,Class - 4 / 5,Sở hữu Nhà ở nông thôn,Không sở hữu ngôi nhà thứ hai,Không,Không có bất kỳ khoản vay nào,0,0
16,4UBHN,DOCUMENT_NEEDED,12/01/2024 10:52,12/01/2024 14:15,,,00:53:11,00:03:28,,,,,11.163853,15.4,10.2,3 (Middle),3.18536,2,2.42,2.42,2,2.8,3.6,3.6,3.6,2.8,4.4,4.4,2.8,2.8,2.8,144,Lao động tự do,Không có / Chức vụ khác,Class 7,0,2,Samsung / Vivo / OPPO,Class 4,Có,Class - Special / 1,Sở hữu Nhà ở nông thôn,Không sở hữu ngôi nhà thứ hai,Không,Không có bất kỳ khoản vay nào,0,0
17,25VMHCM,DOCUMENT_NEEDED,12/01/2024 13:53,18/01/2024 16:55,,,02:34:50,00:06:38,,,,,23.699383,30.4,20.3,5 (Upper),5.33657,2,2,3.2,2,4.4,5.2,5.2,6.8,2.8,4.4,5.2,5.2,6.8,6.2,228,Kinh doanh có giấy phép,Chủ doanh nghiệp,Không,714.000,2,Samsung / Vivo / OPPO,Class 1,Có,Class - Special / 1,Sở hữu Nhà phố nhỏ,Sở hữu 1 ngôi nhà khác,Có,"Có khoản nợ tín dụng, nợ học phí, nợ viện phí",0,0
18,4UBHN,CONFIRMED,12/01/2024 14:51,15/01/2024 14:42,15/01/2024 14:41,15/01/2024 14:42,04:11:06,00:07:27,71:50:23,71:49:22,00:01:01,Able to afford with PAP scheme B,14.588242,15.4,10.2,3 (Middle),3.84389,2,2.42,2.42,2,4.4,4.4,4.8,4.8,2.8,4.4,4.4,2.8,4.4,4.4,161.16,Khác,Không có / Chức vụ khác,Không,703.000,4,Apple,Class 4,Có,Class - Special / 1,Sở hữu Nhà ở nông thôn,Không sở hữu ngôi nhà thứ hai,Có,Không có bất kỳ khoản vay nào,0,0
19,19UBDN,DOCUMENT_NEEDED,12/01/2024 19:55,16/01/2024 13:26,,,00:44:28,03:22:46,,,,,17.120926,20.3,15.4,4 (Upper-Middle),4.35121,2,2.42,2.42,2,4.4,5.2,5.6,5.6,2.8,4.4,5.2,5.2,5.2,4.6,120,Công chức nhà nước,Không có / Chức vụ khác,Không,679.000,2,Apple,Class 4,Có,Class - Special / 1,Sở hữu Nhà phố nhỏ,Sở hữu 1 ngôi nhà khác,Không,Có khoản vay tiêu dùng,0,0
20,24QY175,CONFIRMED,12/01/2024 20:12,15/01/2024 18:50,15/01/2024 18:43,15/01/2024 18:50,00:34:35,60:50:59,70:38:04,70:31:01,00:07:03,Able to afford with PAP scheme B,18.268238,20.3,15.4,4 (Upper-Middle),4.58535,2,2.42,2.42,2,6,6,6.4,6.4,2.8,2.8,2.8,1.2,1.2,1.8,190.8,Công chức nhà nước,Không có / Chức vụ khác,Không,1.076.000,4,Apple,Class 4,Có,Class - 4 / 5,Sở hữu Nhà ở nông thôn,Không sở hữu ngôi nhà thứ hai,Không,Có khoản vay khác,0,0
21,24QY175,DOCUMENT_NEEDED,12/01/2024 21:37,17/01/2024 11:55,,,00:50:16,17:47:51,,,,,5.087779,5.1,0.1,1 (Very Low),1.99756,1,1.21,1.21,1,1.8,2.6,2.6,2.6,1.8,1.8,1.8,0.2,0.2,0.2,60,Làm nông,Không có / Chức vụ khác,Class 7,380.000,2,Samsung / Vivo / OPPO,Class 4,Có,Class - 4 / 5,Sở hữu Nhà ở nông thôn,Không sở hữu ngôi nhà thứ hai,Không,Không có bất kỳ khoản vay nào,0,0
22,3QD108,CONFIRMED,13/01/2024 10:36,16/01/2024 13:37,16/01/2024 11:30,16/01/2024 13:37,17:52:55,04:47:15,75:00:51,72:53:45,02:07:06,Able to afford with PAP scheme A,24.980368,30.4,20.3,5 (Upper),5.4634,2,2.42,2.82,2.4,6.4,7.2,7.2,7.2,2.8,3.6,6.8,5.2,6.8,6.8,204,Công chức nhà nước,Quản lý cấp trung,Class 6,1.300.000,2,Samsung / Vivo / OPPO,Class 4,Có,Class - 2 / 3,Sở hữu Căn hộ cao cấp,Không sở hữu ngôi nhà thứ hai,Có,Không có bất kỳ khoản vay nào,0,0
23,1BVK,CONFIRMED,14/01/2024 14:33,18/01/2024 11:37,18/01/2024 10:33,18/01/2024 11:37,48:50:30,02:34:09,93:04:19,92:00:19,01:04:00,Able to afford with PAP scheme C,3.5755873,5.1,0.1,1 (Very Low),1.69512,1,1.21,1.21,1,1.8,1.8,1.4,1.4,1.8,3.4,3.4,1.8,1.8,1.8,96,Làm nông,Không có / Chức vụ khác,Không,423.000,4,"Khác (Xiaomi, Realme, ...)",Class 4,Có,Class - Special / 1,Sở hữu Nhà ở nông thôn,Không sở hữu ngôi nhà thứ hai,Không,Không có bất kỳ khoản vay nào,0,0
24,4UBHN,CONFIRMING,14/01/2024 18:28,17/01/2024 16:34,17/01/2024 16:34,,00:18:41,14:48:57,,70:05:37,,Able to afford with PAP scheme A,29.759373,30.4,20.3,5 (Upper),5.93657,3,3.12,3.12,3,7,7.4,7.8,7.8,3.8,5.4,6.2,4.6,4.6,4,252,"Nhân viên văn phòng cho cty lớn, doanh nghiệp đa quốc gia",Không có / Chức vụ khác,Không,1.482.000,3,Apple,Class 4,Có,Class - Special / 1,Sở hữu Nhà phố nhỏ,Không sở hữu ngôi nhà thứ hai,Không,Có khoản vay tiêu dùng,0,0
25,1BVK,CONFIRMING,14/01/2024 19:59,16/01/2024 15:07,16/01/2024 15:07,,05:23:51,19:05:22,,43:08:03,,Able to afford with PAP scheme A,20.620098,30.4,20.3,5 (Upper),5.03169,3,3.63,3.63,3,5.4,5.4,5.8,5.8,3.8,5.4,5.4,5.4,7,7,300,Khác,Nhân viên,Không,600.000,4,Apple,Class 4,Có,Class - Special / 1,Sở hữu Nhà ở nông thôn,Sở hữu 1 ngôi nhà khác,Có,Không có bất kỳ khoản vay nào,0,0
26,31UBCT,DOCUMENT_NEEDED,15/01/2024 10:34,19/01/2024 11:03,,,65:06:20,01:44:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,,,,,,,,,,0,0
27,19UBDN,DOCUMENT_NEEDED,15/01/2024 11:21,18/01/2024 19:48,,,00:11:50,00:50:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,,,,,,,,,,0,0
28,19UBDN,RE_APPROVAL,15/01/2024 12:23,18/01/2024 17:38,,,116:23:58,03:54:33,,,,,14.042895,15.4,10.2,3 (Middle),3.73902,1,1.21,1.21,1,5,5.4,5,5,1.8,3.4,4.2,2.6,2.6,2.6,0,Khác,Không có / Chức vụ khác,Không,917.000,3,"Khác (Xiaomi, Realme, ...)",Class 4,Có,Class - Special / 1,Sở hữu Nhà phố nhỏ,Không sở hữu ngôi nhà thứ hai,Không,Không có bất kỳ khoản vay nào,0,0
29,24QY175,DOCUMENT_NEEDED,15/01/2024 13:58,16/01/2024 12:13,,,113:25:47,02:23:37,,,,,18.268238,20.3,15.4,4 (Upper-Middle),4.58535,2,2.42,2.42,2,5.2,6,6.4,6.4,2.8,2.8,2.8,1.2,1.2,1.8,180,Bán buôn tự do,Không có / Chức vụ khác,Không,792.000,2,Apple,Class 4,Có,Class - 4 / 5,Thuê Nhà phố nhỏ,Không sở hữu ngôi nhà thứ hai,Không,Có khoản vay khác,0,0
30,24QY175,DOCUMENT_NEEDED,15/01/2024 14:28,18/01/2024 17:46,,,00:40:49,02:03:00,,,,,17.981407,20.3,15.4,4 (Upper-Middle),4.52682,2,2,2.8,2,5.2,6,6,6,2.8,3.6,3.6,3.6,3.6,3.6,223.302,Nghỉ hưu,Quản lý cấp cao,Không,800.000,2,Samsung / Vivo / OPPO,Class 4,Có,Class - 2 / 3,Sở hữu Nhà ở nông thôn,Sở hữu 1 ngôi nhà khác,Không,Không có bất kỳ khoản vay nào,0,0
31,26FV,RE_APPROVAL,15/01/2024 16:53,19/01/2024 08:14,,,01:04:17,00:01:56,,,,,20.866516,30.4,20.3,5 (Upper),5.05609,1,1,1,1,5,5.8,6.2,7.8,1.8,3.4,4.2,4.2,4.2,4.8,96,Nghỉ hưu,Không có / Chức vụ khác,Class 7,1.708.000,2,Apple,Class 1,Có,Class - Special / 1,Sở hữu Nhà phố nhỏ,Sở hữu 1 ngôi nhà khác,Không,Có khoản vay khác,0,0
32,19UBDN,DOCUMENT_NEEDED,15/01/2024 17:09,18/01/2024 20:11,,,74:48:40,00:26:15,,,,,5.3487544,10.2,5.1,2 (Low),2.04878,1,1.21,1.21,1,1.8,2.6,2.6,2.6,1.8,1.8,1.8,0.2,1.8,2.4,0.00012,Công chức nhà nước,Không có / Chức vụ khác,Không,0,2,Samsung / Vivo / OPPO,Class 4,Có,Class - 4 / 5,Sở hữu Nhà ở nông thôn,Không sở hữu ngôi nhà thứ hai,Có,Có khoản vay khác,0,0
33,3QD108,CONFIRMING,15/01/2024 17:15,16/01/2024 15:17,16/01/2024 13:10,,00:57:51,00:21:32,,19:55:31,,Able to afford with PAP scheme A,28.798628,30.4,20.3,5 (Upper),5.84145,3,3.63,3.63,4.6,6.2,7,7.4,7.4,3.8,5.4,6.2,4.6,6.2,6.2,261.37512,Công chức nhà nước,Nhân viên,Class 4,598.000,2,Apple,Class 4,Có,Class - Special / 1,Sở hữu Nhà phố nhỏ,Không sở hữu ngôi nhà thứ hai,Có,Không có bất kỳ khoản vay nào,0,0
34,1BVK,DOCUMENT_NEEDED,15/01/2024 18:52,16/01/2024 12:00,,,00:36:56,01:24:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,,,,,,,,,,0,0
35,19UBDN,RE_APPROVAL,15/01/2024 19:00,18/01/2024 10:11,,,102:21:20,01:16:49,,,,,5.087779,5.1,0.1,1 (Very Low),1.99756,1,1.21,1.21,1,1.8,2.6,2.6,2.6,1.8,1.8,1.8,0.2,1.8,1.8,30,Làm nông,Không có / Chức vụ khác,Class 7,137.000,2,Samsung / Vivo / OPPO,Class 4,Có,Class - 4 / 5,Sở hữu Nhà ở nông thôn,Không sở hữu ngôi nhà thứ hai,Có,Không có bất kỳ khoản vay nào,0,0
36,26FV,CONFIRMED,15/01/2024 19:02,16/01/2024 17:24,16/01/2024 16:56,16/01/2024 17:24,00:30:25,01:15:03,22:22:31,21:53:57,00:28:34,Able to afford with PAP scheme A,>=65,>=65,>=65,9 (Very High),9.19266,5,6.05,6.05,5,9,9.8,10.2,11.8,5.8,7.4,7.4,5.8,7.4,7.4,660,Lao động tự do,Không có / Chức vụ khác,Class 7,1.940.000,2,Apple,Class 1,Có,Class - Special / 1,Sở hữu Nhà ở nông thôn,Không sở hữu ngôi nhà thứ hai,Có,Không có bất kỳ khoản vay nào,0,0
37,26FV,CONFIRMED,15/01/2024 19:25,16/01/2024 19:50,16/01/2024 16:20,16/01/2024 16:24,07:29:57,00:51:54,20:58:48,20:55:04,00:03:44,Able to afford with PAP scheme A,>=65,>=65,>=65,7 (Very High),7.79753,5,6.05,7.25,5,5.8,6.6,7,8.6,5.8,7.4,8.2,6.6,6.6,6.6,660,Chủ doanh nghiệp,Chủ doanh nghiệp,Không,447.000,2,Apple,Class 1,Có,Class - Special / 1,Sở hữu Nhà phố nhỏ,Không sở hữu ngôi nhà thứ hai,Không,Không có bất kỳ khoản vay nào,0,0
38,23UBHCM,CONFIRMED,15/01/2024 19:27,17/01/2024 11:34,17/01/2024 11:32,17/01/2024 11:34,00:50:09,00:50:17,40:07:13,40:05:24,00:01:49,Able to afford with PAP scheme B,14.981424,15.4,10.2,3 (Middle),3.9195,1,1.21,1.61,1,5,5.4,5.8,5.8,1.8,1.8,2.6,1,1,1,117.6,Công chức nhà nước,Quản lý cấp trung,Không,1.138.000,3,Apple,Class 4,Có,Class - 4 / 5,Sở hữu Nhà phố nhỏ,Không sở hữu ngôi nhà thứ hai,Không,Không có bất kỳ khoản vay nào,0,0
39,22CR,CONFIRMING,15/01/2024 19:32,16/01/2024 17:17,16/01/2024 17:17,,01:03:26,00:44:57,,21:44:52,,Able to afford with PAP scheme A,>=65,>=65,>=65,9 (Very High),9.80241,6,7.26,7.66,6.8,10.8,11.2,11.6,11.6,6.8,8.4,9.2,7.6,9.2,9.8,928.8,Bán buôn tự do,Quản lý cấp trung,Class 5,2.278.000,3,Apple,Class 4,Có,Class - Special / 1,Sở hữu Nhà phố nhỏ,Không sở hữu ngôi nhà thứ hai,Có,"Có khoản vay mua nhà, mua ô tô",0,0
40,1BVK,REJECTED,15/01/2024 21:07,18/01/2024 20:30,,18/01/2024 20:30,00:26:51,00:21:16,71:22:48,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,,,,,,,,,,0,0
41,25VMHCM,DOCUMENT_NEEDED,15/01/2024 22:06,18/01/2024 19:18,,,00:08:28,13:30:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,,,,,,,,,,0,0
42,1BVK,CONFIRMED,15/01/2024 22:25,17/01/2024 17:15,17/01/2024 11:51,17/01/2024 17:15,00:48:32,13:20:02,42:49:46,37:26:01,05:23:45,Able to afford with PAP scheme C,13.877998,15.4,10.2,3 (Middle),3.70731,2,2.42,2.42,2,4.4,4.8,4.8,4.8,2.8,2.8,2.8,1.2,1.2,1.2,138,Khác,Nhân viên,Không,658.000,3,Samsung / Vivo / OPPO,Class 4,Có,Class - 4 / 5,Sở hữu Nhà ở nông thôn,Không sở hữu ngôi nhà thứ hai,Không,Không có bất kỳ khoản vay nào,0,0
43,1BVK,CONFIRMED,15/01/2024 22:41,17/01/2024 08:23,16/01/2024 19:20,17/01/2024 08:23,09:37:53,11:05:03,33:42:30,20:39:00,13:03:30,Able to afford with PAP scheme A,>=65,>=65,>=65,7 (Very High),7.07803,5,5.2,5.2,5.4,7.8,7.8,8.2,8.2,5.8,7.4,8.2,8.2,8.2,8.2,516.815016,"Nhân viên văn phòng cho cty lớn, doanh nghiệp đa quốc gia",Không có / Chức vụ khác,Class 6,692.000,4,Apple,Class 4,Có,Class - Special / 1,Sở hữu Nhà phố nhỏ,Sở hữu 1 ngôi nhà khác,Không,Không có bất kỳ khoản vay nào,0,0
44,27DHYDHCM,RE_APPROVAL,16/01/2024 07:49,19/01/2024 06:14,,,18:26:32,01:56:30,,,,,16.367998,20.3,15.4,4 (Upper-Middle),4.19755,2,2.42,2.42,2,4.4,4.8,5.2,5.6,2.8,2.8,2.8,2.8,2.8,3.4,160.2,Nhân viên văn phòng cho cty vừa và nhỏ,Nhân viên,Không,652.000,3,Apple,Class 3,Có,,Sở hữu Nhà ở nông thôn,Sở hữu 1 ngôi nhà khác,Không,Có khoản vay khác,0,0
45,26FV,DOCUMENT_NEEDED,16/01/2024 10:13,18/01/2024 20:10,,,01:10:13,01:59:36,,,,,16.786291,20.3,15.4,4 (Upper-Middle),4.28292,2,2.42,2.42,2,2.8,3.6,4,5.6,2.8,2.8,4.4,4.4,4.4,4.4,120,Bán buôn tự do,Không có / Chức vụ khác,Không,476.000,2,Apple,Class 1,Có,Class - 4 / 5,Sở hữu Nhà phố lớn,Sở hữu 1 ngôi nhà khác,Không,Không có bất kỳ khoản vay nào,0,0
46,24QY175,DOCUMENT_NEEDED,16/01/2024 10:20,18/01/2024 19:49,,,66:46:12,01:38:03,,,,,>=65,>=65,>=65,9 (Very High),9.74875,6,7.26,8.06,6,10,10.8,11.2,11.2,6.8,8.4,10,8.4,10,10.6,1440,Chủ doanh nghiệp,Quản lý cấp cao,Class 7,3.200.000,2,Apple,Class 4,Có,Class - Special / 1,Sở hữu Nhà phố lớn,Không sở hữu ngôi nhà thứ hai,Có,"Có khoản vay mua nhà, mua ô tô",0,0
47,19UBDN,DOCUMENT_NEEDED,16/01/2024 10:28,16/01/2024 18:21,,,21:45:10,01:30:23,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,,,,,,,,,,0,0
48,1BVK,CONFIRMING,16/01/2024 10:49,16/01/2024 15:39,16/01/2024 15:30,,01:03:59,00:52:22,,04:40:52,,Able to afford with PAP scheme A,>=65,>=65,>=65,7 (Very High),7.11218,4,4.84,4.84,4,8,8.8,8.8,8.8,4.8,6.4,7.2,5.6,5.6,5.6,360,Bán buôn tự do,Không có / Chức vụ khác,Class 7,2.500.000,2,Samsung / Vivo / OPPO,Class 4,Có,Class - Special / 1,Sở hữu Nhà phố nhỏ,Không sở hữu ngôi nhà thứ hai,Không,Không có bất kỳ khoản vay nào,0,0
49,18UBNA,DOCUMENT_NEEDED,16/01/2024 10:57,17/01/2024 20:14,,,21:29:37,03:14:10,,,,,5.087779,5.1,0.1,1 (Very Low),1.99756,1,1.21,1.21,1,1.8,2.6,2.6,2.6,1.8,1.8,1.8,0.2,1.8,1.8,96,Lao động tự do,Không có / Chức vụ khác,Không,150.000,2,Samsung / Vivo / OPPO,Class 4,Có,Class - 4 / 5,Sở hữu Nhà ở nông thôn,Không sở hữu ngôi nhà thứ hai,Có,Không có bất kỳ khoản vay nào,0,0
50,24QY175,RE_APPROVAL,16/01/2024 10:58,18/01/2024 13:30,,,23:23:55,00:53:26,,,,,>=65,>=65,>=65,14 (Very High),14.1097,6,7.26,7.66,14,18,18.8,19.2,19.2,6.8,8.4,9.2,9.2,10.8,11.4,1791,Nhân viên văn phòng cho cty vừa và nhỏ,Quản lý cấp trung,Class 1,1.590.000,2,Apple,Class 4,Có,Class - Special / 1,Sở hữu Nhà phố nhỏ,Sở hữu 1 ngôi nhà khác,Có,"Có khoản vay mua nhà, mua ô tô",0,0
51,1BVK,CONFIRMED,16/01/2024 11:34,16/01/2024 22:29,16/01/2024 18:52,16/01/2024 22:29,02:59:15,00:17:09,10:54:56,07:18:31,03:36:25,Able to afford with PAP scheme A,>=65,>=65,>=65,9 (Very High),9.84875,6,7.26,8.06,6.4,10.4,11.2,11.6,11.6,6.8,8.4,9.2,7.6,7.6,7.6,780,Làm nông,Quản lý cấp cao,Class 6,1.492.000,2,Apple,Class 4,Có,Class - Special / 1,Sở hữu Nhà phố nhỏ,Không sở hữu ngôi nhà thứ hai,Không,Không có bất kỳ khoản vay nào,0,0
