HH Profile_ID,Referral Code,HH Profile_Status,Registration_Date,Update_Date,Calculation_Date,Confirmation_Date,FirstOtp-Registration_Time,Registration-Underwriting_Time,Registration-Confirmation_Time,Registration-Calculation_Time,Calculation-Confirmation_Time,Scheme (AFF),AFF,Max Aff,Min Aff,EAS,Result,S01_Income,S02_Occupation,S03_Position,S04_School,S09_Electricity bill,S10_Nb_Members,S11_Phone brand,S13_Hospital,S15_Home ownership,S16_Urban type,S17_Residency,S18_Nb_Properties,S19_Private insurance,S20_Loan type,Q01_Income,Q02_Occupation,Q03_Position,RQ04_School,Q09_Electricity bill,Q10_Nb_Members,Q11_Phone brand,RQ13_Hospital,Q15_Home ownership,Q16_Urban type,RQ17_Residency,Q18_Properties,Q19_Private insurance,Q20_Loan type,Q23_Nb_Dependents,Q24_High treament cost
63,3QD108,CONFIRMED,16/01/2024 19:00,17/01/2024 10:46,17/01/2024 10:45,17/01/2024 10:46,00:13:07,12:04:45,15:45:51,15:45:20,00:00:31,Able to afford with PAP scheme C,6.903632,10.2,5.1,2 (Low),2.35365,1,1.21,1.21,1,2.6,3,2.6,2.6,1.8,3.4,3.4,1.8,1.8,1.8,60,Khác,Không có / Chức vụ khác,Không,512.000,3,"Khác (Xiaomi, Realme, ...)",Class 4,Có,Class - Special / 1,Sở hữu Nhà tập thể,Không sở hữu ngôi nhà thứ hai,Không,Không có bất kỳ khoản vay nào,0,0
64,12PTW,DOCUMENT_NEEDED,16/01/2024 20:17,18/01/2024 14:01,,,00:17:51,10:56:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,,,,,,,,,,0,0
65,12PTW,RE_APPROVAL,16/01/2024 20:41,18/01/2024 18:33,,,24:30:35,10:37:53,,,,,19.606777,20.3,15.4,4 (Upper-Middle),4.85853,2,2.42,2.42,2,6,6,6.4,6.4,2.8,4.4,4.4,6,6,6,196.734,Lao động tự do,Không có / Chức vụ khác,Không,1.050.000,4,Apple,Class 4,Có,Class - Special / 1,Sở hữu Nhà ở nông thôn,Sở hữu 2 ngôi nhà khác,Không,Không có bất kỳ khoản vay nào,0,0
66,4UBHN,DOCUMENT_NEEDED,16/01/2024 20:44,17/01/2024 15:40,,,00:17:46,10:43:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,,,,,,,,,,0,0
67,1BVK,RE_APPROVAL,16/01/2024 20:49,18/01/2024 18:20,,,00:25:58,10:43:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,,,,,,,,,,0,0
68,24QY175,CONFIRMED,16/01/2024 21:12,18/01/2024 18:24,18/01/2024 18:19,18/01/2024 18:24,00:25:05,10:27:06,45:12:07,45:07:18,00:04:49,Able to afford with PAP scheme B,18.268238,20.3,15.4,4 (Upper-Middle),4.58535,2,2.42,2.42,2,6,6,6.4,6.4,2.8,2.8,2.8,1.2,1.2,0.6,120,Bán buôn tự do,Không có / Chức vụ khác,Không,1.414.000,4,Apple,Class 4,Có,Class - 4 / 5,Sở hữu Nhà ở nông thôn,Không sở hữu ngôi nhà thứ hai,Không,Có khoản vay tiêu dùng,0,0
69,24QY175,RE_APPROVAL,16/01/2024 21:57,18/01/2024 09:58,,,00:24:48,09:48:37,,,,,55.42862,65.4,30.4,6 (High),6.68779,4,4,4,4,8,8.4,8.4,8.4,4.8,6.4,7.2,5.6,5.6,5.6,429.6696,Nghỉ hưu,Không có / Chức vụ khác,Không,855.000,3,Samsung / Vivo / OPPO,Class 4,Có,Class - Special / 1,Sở hữu Nhà phố nhỏ,Không sở hữu ngôi nhà thứ hai,Không,Không có bất kỳ khoản vay nào,0,0
70,3QD108,CONFIRMED,16/01/2024 21:58,18/01/2024 15:42,17/01/2024 17:18,18/01/2024 15:42,02:25:44,09:54:12,41:43:56,19:20:33,22:23:23,Able to afford with PAP scheme A,23.995012,30.4,20.3,5 (Upper),5.36584,2,2.42,2.42,2,6,6.8,7.2,7.2,2.8,4.4,5.2,5.2,6.8,6.8,192,Công chức nhà nước,Không có / Chức vụ khác,Class 7,1.010.000,2,Apple,Class 4,Có,Class - Special / 1,Sở hữu Nhà phố nhỏ,Sở hữu 1 ngôi nhà khác,Có,Không có bất kỳ khoản vay nào,0,0
71,3QD108,CONFIRMED,16/01/2024 22:27,17/01/2024 17:39,17/01/2024 17:37,17/01/2024 17:39,03:12:55,09:32:59,19:11:53,19:10:30,00:01:23,Able to afford with PAP scheme C,13.370687,15.4,10.2,3 (Middle),3.60975,2,2.08,2.08,2,3.6,4,4.4,4.4,2.8,4.4,5.2,3.6,3.6,4.2,229.4004,"Nhân viên văn phòng cho cty lớn, doanh nghiệp đa quốc gia",Nhân viên,Class 7,547.000,3,Apple,Class 4,Có,Class - Special / 1,Sở hữu Nhà phố nhỏ,Không sở hữu ngôi nhà thứ hai,Không,"Có khoản vay mua nhà, mua ô tô",0,0
72,1BVK,RE_APPROVAL,16/01/2024 22:30,18/01/2024 17:49,,,02:17:03,09:49:45,,,,,10.631175,15.4,10.2,3 (Middle),3.08292,2,2,2,2,2.8,3.6,3.2,3.2,2.8,4.4,4.4,2.8,2.8,2.8,151.0884,Nghỉ hưu,Không có / Chức vụ khác,Không,275.000,2,"Khác (Xiaomi, Realme, ...)",Class 4,Có,Class - Special / 1,Sở hữu Nhà tập thể,Không sở hữu ngôi nhà thứ hai,Không,Không có bất kỳ khoản vay nào,0,0
73,4UBHN,RE_APPROVAL,17/01/2024 08:52,18/01/2024 17:41,,,47:19:02,00:01:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,,,,,,,,,,0,0
74,1BVK,DOCUMENT_NEEDED,17/01/2024 09:53,18/01/2024 19:17,,,13:06:42,02:39:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,,,,,,,,,,0,0
