HH Profile_ID,Referral Code,HH Profile_Status,Nb_Sub-profile_All,Nb_Sub-profile_Support,FirstOtp_Date,Registration_Date,Underwriting_Date,Update_Date,Completion_Date,Confirmation_Date,FirstOtp-Registration_Time,Registration-Underwriting_Time,Registration-Confirmation_Time,Registration-Calculation_Time,Calculation-Confirmation_Time,Scheme (AFF),AFF,Max Aff,Min Aff,EAS,Result,S01_Income,S02_Occupation,S03_Position,S04_School,S09_Electricity bill,S10_Nb_Members,S11_Phone brand,S13_Hospital,S15_Home ownership,S16_Urban type,S17_Residency,S18_Nb_Properties,S19_Private insurance,S20_Loan type,Q01_Income,Q02_Occupation,Q03_Position,RQ04_School,Q09_Electricity bill,Q10_Nb_Members,Q11_Phone brand,RQ13_Hospital,Q15_Home ownership,Q16_Urban type,RQ17_Residency,Q18_Properties,Q19_Private insurance,Q20_Loan type,Q23_Nb_Dependents,Q24_High treament cost
2,24QY175,CONFIRMING,3,3,10/01/2024 13:54,10/01/2024 14:39,10/01/2024 14:48,12/01/2024 13:57,12/01/2024 13:57,,00:44:23,00:09:31,,47:17:57,,Able to afford with PAP scheme A,23.650085,30.4,20.3,5 (Upper),5.33169,3,3.63,4.03,3,5.4,5.8,6.2,6.2,3.8,5.4,6.2,6.2,6.2,6.8,240,Lao động tự do,Quản lý cấp trung,Không,688.000,3,Apple,Class 4,Có,Class - Special / 1,Sở hữu Nhà phố nhỏ,Sở hữu 1 ngôi nhà khác,Không,Có khoản vay khác,0,0
3,24QY175,CONFIRMED,3,3,10/01/2024 14:24,10/01/2024 15:59,10/01/2024 16:03,21/01/2024 16:52,21/01/2024 16:51,21/01/2024 16:52,01:35:34,00:03:53,264:52:33,264:51:55,00:00:38,Able to afford with PAP scheme B,16.810177,20.3,15.4,4 (Upper-Middle),4.28779,3,3.63,3.63,3,3.8,4.2,4.6,4.6,3.8,5.4,5.4,5.4,5.4,6,300,Nhân viên văn phòng cho cty vừa và nhỏ,Nhân viên,Class 7,457.000,3,Apple,Class 4,Có,Class - Special / 1,Sở hữu Nhà của nhiều hộ gia đình,Sở hữu 1 ngôi nhà khác,Không,"Có khoản vay mua nhà, mua ô tô",2,0
4,24QY175,CONFIRMED,4,2,10/01/2024 18:49,10/01/2024 19:13,10/01/2024 19:28,12/01/2024 10:44,12/01/2024 10:37,12/01/2024 10:44,00:23:38,00:15:05,39:31:11,39:24:47,00:06:24,Able to afford with PAP scheme B,17.120924,20.3,15.4,4 (Upper-Middle),4.35121,2,2.42,2.42,2,5.2,5.2,5.6,5.6,2.8,4.4,5.2,3.6,3.6,3.6,180,Khác,Nhân viên,Class 7,765.000,4,Apple,Class 4,Có,Class - Special / 1,Sở hữu Nhà phố nhỏ,Không sở hữu ngôi nhà thứ hai,Không,Không có bất kỳ khoản vay nào,4,0
5,24QY175,CONFIRMED,3,2,10/01/2024 15:14,10/01/2024 21:33,10/01/2024 21:58,12/01/2024 19:26,12/01/2024 17:29,12/01/2024 19:26,06:18:58,00:25:13,45:53:30,43:56:36,01:56:54,Able to afford with PAP scheme C,13.446779,15.4,10.2,3 (Middle),3.62438,2,2.42,2.42,2,3.6,4,4.4,4.4,2.8,4.4,3.6,2,3.6,3.6,232.68,Nhân viên văn phòng cho cty vừa và nhỏ,Nhân viên,Không,562.000,3,Apple,Class 4,Có,Class - Special / 1,Thuê Nhà của nhiều hộ gia đình,Không sở hữu ngôi nhà thứ hai,Có,Không có bất kỳ khoản vay nào,0,0
6,24QY175,CONFIRMED,4,4,11/01/2024 07:54,11/01/2024 08:19,11/01/2024 09:29,17/01/2024 20:13,17/01/2024 20:10,17/01/2024 20:13,00:25:18,01:10:03,155:54:13,155:50:23,00:03:50,Able to afford with PAP scheme A,21.974932,30.4,20.3,5 (Upper),5.16583,4,4.84,5.24,4,4.8,4.8,5.2,5.2,4.8,6.4,6.4,4.8,6.4,6.4,360,Nhân viên văn phòng cho cty vừa và nhỏ,Quản lý cấp trung,Không,397.000,4,Apple,Class 4,Có,Class - Special / 1,Sở hữu Nhà ở nông thôn,Không sở hữu ngôi nhà thứ hai,Có,Không có bất kỳ khoản vay nào,0,0
7,27DHYDHCM,CONFIRMED,5,3,11/01/2024 10:10,11/01/2024 10:42,11/01/2024 10:44,15/01/2024 18:31,15/01/2024 18:00,15/01/2024 18:31,00:31:54,00:01:42,103:48:57,103:17:54,00:31:03,Able to afford with PAP scheme B,17.861898,20.3,15.4,4 (Upper-Middle),4.50243,2,2.42,2.42,2,6,5.6,5.6,6,2.8,4.4,4.4,4.4,4.4,3.8,120,Lao động tự do,Không có / Chức vụ khác,Không,1.309.000,>4,Samsung / Vivo / OPPO,Class 3,Có,Class - Special / 1,Sở hữu Nhà của nhiều hộ gia đình,Sở hữu 1 ngôi nhà khác,Không,Có khoản vay tiêu dùng,0,0
8,19UBDN,CONFIRMED,2,2,11/01/2024 12:37,11/01/2024 14:04,11/01/2024 14:36,20/01/2024 14:14,17/01/2024 16:00,20/01/2024 13:42,01:27:09,00:32:37,215:38:15,145:56:06,69:42:09,Able to afford with PAP scheme A,>=65,>=65,>=65,10 (Very High),10.2195,6,7.26,8.06,10.8,11.6,12.4,12.4,12.4,6.8,6.8,8.4,6.8,8.4,8.4,2520,Chủ doanh nghiệp,Giám đốc,Class 2,436.000,2,Samsung / Vivo / OPPO,Class 4,Có,Class - 4 / 5,Sở hữu Nhà phố lớn,Không sở hữu ngôi nhà thứ hai,Có,Không có bất kỳ khoản vay nào,0,0
9,19UBDN,CONFIRMED,6,4,11/01/2024 11:50,11/01/2024 14:09,11/01/2024 14:25,30/01/2024 16:41,30/01/2024 16:31,30/01/2024 16:41,02:18:55,00:15:28,458:31:55,458:21:40,00:10:15,Able to afford with PAP scheme B,17.527266,20.3,15.4,4 (Upper-Middle),4.43414,2,2.42,2.42,2,6,5.6,5.2,5.2,2,3.6,2.8,1.2,1.2,1.2,235.4904,Khác,Không có / Chức vụ khác,Không,963.000,>4,"Khác (Xiaomi, Realme, ...)",Class 4,Không,Class - Special / 1,Thuê Nhà của nhiều hộ gia đình,Không sở hữu ngôi nhà thứ hai,Không,Không có bất kỳ khoản vay nào,0,0
10,19UBDN,CONFIRMED,4,2,11/01/2024 10:54,11/01/2024 14:14,11/01/2024 14:24,16/01/2024 19:09,16/01/2024 18:16,16/01/2024 19:09,03:20:14,00:09:49,124:54:30,124:01:25,00:53:05,Able to afford with PAP scheme C,11.163853,15.4,10.2,3 (Middle),3.18536,2,2.42,2.42,2,3.6,3.6,3.6,3.6,2.8,4.4,4.4,4.4,4.4,4.4,120,Khác,Không có / Chức vụ khác,Không,500.000,4,Samsung / Vivo / OPPO,Class 4,Có,Class - Special / 1,Sở hữu Nhà ở nông thôn,Sở hữu 1 ngôi nhà khác,Không,Không có bất kỳ khoản vay nào,0,0
12,24QY175,CONFIRMING,3,3,11/01/2024 13:38,11/01/2024 15:08,11/01/2024 15:20,06/02/2024 16:59,06/02/2024 10:21,,01:29:49,00:12:00,,619:12:18,,Able to afford with PAP scheme A,19.116756,20.3,15.4,4 (Upper-Middle),4.75852,3,3.63,3.63,3,5.4,5.8,5.8,5.8,3.8,3.8,3.8,3.8,3.8,3.8,302.9664,Nhân viên văn phòng cho cty vừa và nhỏ,Không có / Chức vụ khác,Không,679.000,3,Samsung / Vivo / OPPO,Class 4,Có,Class - 4 / 5,Sở hữu Nhà ở nông thôn,Sở hữu 1 ngôi nhà khác,Không,Không có bất kỳ khoản vay nào,0,0
