HH Profile_ID,14Q_Scheme,9Q_Scheme
1219,Scheme 1,Scheme 1
1221,Scheme 3,Scheme 3
1223,Scheme 2,Scheme 2
1225,Scheme 3,Scheme 3
1226,Scheme 2,Scheme 2
1228,Scheme 2,Scheme 2
1233,Scheme 3,Scheme 3
1234,Scheme 3,Scheme 3
1235,Scheme 3,Scheme 3
1237,Scheme 3,Scheme 3
1238,Scheme 3,Scheme 3
1239,Scheme 2,Scheme 2
1240,Scheme 3,Scheme 3
1243,Scheme 2,Scheme 2
1245,Scheme 3,Scheme 3
1248,Scheme 1,Scheme 1
1249,Scheme 3,Scheme 3
1250,Scheme 1,Scheme 1
1252,Scheme 3,Scheme 3
1253,Scheme 3,Scheme 3
1255,Scheme 2,Scheme 2
1257,Scheme 2,Scheme 2
1258,Scheme 1,Scheme 1
1260,Scheme 3,Scheme 3
1261,Scheme 3,Scheme 3
1262,Scheme 3,Scheme 3
1263,Scheme 3,Scheme 3
1264,Scheme 1,Scheme 1
1265,Scheme 2,Scheme 3
1266,Scheme 2,Scheme 3
1268,Scheme 2,Scheme 2
1269,Scheme 2,Scheme 3
1270,Scheme 3,Scheme 3
1271,Scheme 1,Scheme 1
1272,Scheme 1,Scheme 1
1274,Scheme 1,Scheme 1
1275,Scheme 1,Scheme 1
1276,Scheme 2,Scheme 2
1278,Scheme 2,Scheme 2
1280,Scheme 2,Scheme 2
1281,Scheme 3,Scheme 3
1287,Scheme 3,Scheme 3
1288,Scheme 3,Scheme 3
1289,Scheme 3,Scheme 3
1290,Scheme 1,Scheme 1
1291,Scheme 3,Scheme 3
1292,Scheme 3,Scheme 3
1294,Scheme 3,Scheme 3
1297,Scheme 2,Scheme 2
1298,Scheme 3,Scheme 3
1299,Scheme 3,Scheme 3
1300,Scheme 2,Scheme 2
1301,Scheme 1,Scheme 1
1303,Scheme 2,Scheme 2
1305,Scheme 3,Scheme 3
1306,Scheme 3,Scheme 3
1307,Scheme 3,Scheme 3
1308,Scheme 2,Scheme 2
1309,Scheme 3,Scheme 3
1310,Scheme 2,Scheme 2
1311,Scheme 1,Scheme 1
1312,Scheme 2,Scheme 2
1313,Scheme 2,Scheme 2
1315,Scheme 3,Scheme 3
1316,Scheme 1,Scheme 2
1317,Scheme 1,Scheme 1
1318,Scheme 3,Scheme 3
1320,Scheme 3,Scheme 3
1321,Scheme 3,Scheme 3
1322,Scheme 3,Scheme 3
1323,Scheme 2,Scheme 2
1324,Scheme 3,Scheme 3
1325,Scheme 2,Scheme 2
1327,Scheme 3,Scheme 3
1332,Scheme 1,Scheme 1
1333,Scheme 1,Scheme 1
1334,Scheme 2,Scheme 2
1335,Scheme 2,Scheme 2
1336,Scheme 2,Scheme 2
1337,Scheme 3,Scheme 3
1339,Scheme 1,Scheme 1
1340,Scheme 1,Scheme 1
1342,Scheme 2,Scheme 2
1343,Scheme 1,Scheme 1
1344,Scheme 3,Scheme 3
1345,Scheme 2,Scheme 2
1346,Scheme 3,Scheme 3
1349,Scheme 3,Scheme 3
1350,Scheme 2,Scheme 2
1351,Scheme 3,Scheme 3
1352,Scheme 3,Scheme 3
1355,Scheme 2,Scheme 3
1358,Scheme 2,Scheme 2
1363,Scheme 2,Scheme 2
1364,Scheme 2,Scheme 2
1365,Scheme 2,Scheme 3
1367,Scheme 2,Scheme 2
1370,Scheme 3,Scheme 3
1371,Scheme 2,Scheme 2
1373,Scheme 2,Scheme 2
1374,Scheme 2,Scheme 2
1375,Scheme 3,Scheme 3
1377,Scheme 2,Scheme 2
1379,Scheme 1,Scheme 1
1380,Scheme 2,Scheme 2
1382,Scheme 1,Scheme 1
1383,Scheme 3,Scheme 3
1384,Scheme 2,Scheme 2
1385,Scheme 3,Scheme 3
1386,Scheme 2,Scheme 2
1387,Scheme 2,Scheme 2
1389,Scheme 2,Scheme 2
1392,Scheme 3,Scheme 3
1394,Scheme 2,Scheme 2
1395,Scheme 2,Scheme 2
1396,Scheme 3,Scheme 3
1397,Scheme 3,Scheme 3
1398,Scheme 2,Scheme 3
1401,Scheme 3,Scheme 3
1403,Scheme 3,Scheme 3
1404,Scheme 1,Scheme 1
1405,Scheme 3,Scheme 3
1406,Scheme 3,Scheme 3
1407,Scheme 2,Scheme 2
1408,Scheme 3,Scheme 3
1409,Scheme 3,Scheme 2
1410,Scheme 2,Scheme 1
1416,Scheme 1,Scheme 1
1417,Scheme 3,Scheme 3
1418,Scheme 2,Scheme 2
1419,Scheme 2,Scheme 3
1420,Scheme 2,Scheme 2
1421,Scheme 3,Scheme 3
1422,Scheme 2,Scheme 3
1424,Scheme 2,Scheme 2
1425,Scheme 3,Scheme 3
1427,Scheme 1,Scheme 2
1431,Scheme 2,Scheme 2
1432,Scheme 2,Scheme 2
1433,Scheme 3,Scheme 3
1434,Scheme 2,Scheme 2
1435,Scheme 3,Scheme 3
1436,Scheme 2,Scheme 2
1438,Scheme 3,Scheme 3
1439,Scheme 2,Scheme 2
1440,Scheme 2,Scheme 3
1441,Scheme 2,Scheme 2
1442,Scheme 3,Scheme 3
1443,Scheme 2,Scheme 2
1444,Scheme 2,Scheme 2
1445,Scheme 2,Scheme 2
1446,Scheme 3,Scheme 3
1447,Scheme 2,Scheme 2
1449,Scheme 2,Scheme 2
1451,Scheme 1,Scheme 1
1453,Scheme 2,Scheme 2
1454,Scheme 1,Scheme 1
1456,Scheme 3,Scheme 3
1457,Scheme 2,Scheme 2
1458,Scheme 2,Scheme 3
1459,Scheme 3,Scheme 3
1460,Scheme 3,Scheme 3
1464,Scheme 3,Scheme 3
1466,Scheme 2,Scheme 2
1467,Scheme 3,Scheme 3
1468,Scheme 2,Scheme 2
1469,Scheme 1,Scheme 1
1470,Scheme 1,Scheme 1
1471,Scheme 1,Scheme 2
1473,Scheme 2,Scheme 2
1475,Scheme 3,Scheme 3
1478,Scheme 3,Scheme 3
1479,Scheme 1,Scheme 1
1480,Scheme 2,Scheme 2
1481,Scheme 1,Scheme 2
1483,Scheme 3,Scheme 3
1484,Scheme 2,Scheme 2
1485,Scheme 3,Scheme 3
1486,Scheme 3,Scheme 3
1489,Scheme 3,Scheme 3
1491,Scheme 3,Scheme 3
1496,Scheme 2,Scheme 2
1497,Scheme 2,Scheme 3
1498,Scheme 1,Scheme 2
1501,Scheme 3,Scheme 3
1504,Scheme 2,Scheme 2
1505,Scheme 3,Scheme 3
1506,Scheme 3,Scheme 3
1507,Scheme 2,Scheme 2
1509,Scheme 3,Scheme 3
1510,Scheme 2,Scheme 2
1512,Scheme 2,Scheme 2
1513,Scheme 1,Scheme 1
1514,Scheme 3,Scheme 3
1517,Scheme 1,Scheme 1
1518,Scheme 2,Scheme 2
1519,Scheme 2,Scheme 2
1520,Scheme 2,Scheme 2
1521,Scheme 2,Scheme 2
1522,Scheme 3,Scheme 3
1524,Scheme 2,Scheme 3
1525,Scheme 2,Scheme 2
1527,Scheme 2,Scheme 2
1528,Scheme 3,Scheme 3
1529,Scheme 1,Scheme 1
1531,Scheme 1,Scheme 1
1532,Scheme 1,Scheme 1
1535,Scheme 2,Scheme 2
1536,Scheme 3,Scheme 3
1537,Scheme 2,Scheme 2
1541,Scheme 2,Scheme 2
1542,Scheme 2,Scheme 2
1543,Scheme 3,Scheme 3
1545,Scheme 3,Scheme 3
1546,Scheme 2,Scheme 2
1547,Scheme 2,Scheme 2
1548,Scheme 3,Scheme 3
1549,Scheme 3,Scheme 3
1550,Scheme 2,Scheme 2
1553,Scheme 2,Scheme 2
1554,Scheme 3,Scheme 3
1556,Scheme 3,Scheme 3
1557,Scheme 3,Scheme 3
1558,Scheme 3,Scheme 3
1559,Scheme 2,Scheme 3
1560,Scheme 2,Scheme 2
1561,Scheme 3,Scheme 3
1562,Scheme 2,Scheme 3
1563,Scheme 2,Scheme 2
1565,Scheme 3,Scheme 3
1566,Scheme 2,Scheme 2
1567,Scheme 2,Scheme 2
1568,Scheme 3,Scheme 3
1569,Scheme 3,Scheme 3
1570,Scheme 3,Scheme 3
1571,Scheme 2,Scheme 3
1573,Scheme 1,Scheme 1
1574,Scheme 2,Scheme 2
1575,Scheme 3,Scheme 3
1576,Scheme 2,Scheme 2
1578,Scheme 2,Scheme 2
1579,Scheme 3,Scheme 3
1580,Scheme 2,Scheme 2
1581,Scheme 1,Scheme 1
1582,Scheme 2,Scheme 2
1584,Scheme 3,Scheme 3
1586,Scheme 2,Scheme 2
1587,Scheme 2,Scheme 3
1588,Scheme 3,Scheme 3
1589,Scheme 3,Scheme 2
1590,Scheme 2,Scheme 2
1592,Scheme 2,Scheme 2
1594,Scheme 2,Scheme 2
1595,Scheme 2,Scheme 2
1596,Scheme 3,Scheme 3
1597,Scheme 2,Scheme 3
1598,Scheme 3,Scheme 3
1599,Scheme 3,Scheme 3
1600,Scheme 2,Scheme 3
1601,Scheme 3,Scheme 3
1602,Scheme 1,Scheme 1
1603,Scheme 2,Scheme 3
1605,Scheme 2,Scheme 2
1606,Scheme 3,Scheme 3
1607,Scheme 3,Scheme 3
1608,Scheme 3,Scheme 3
1610,Scheme 2,Scheme 3
1614,Scheme 2,Scheme 2
1615,Scheme 2,Scheme 2
1617,Scheme 2,Scheme 2
1621,Scheme 2,Scheme 2
1623,Scheme 3,Scheme 3
1624,Scheme 3,Scheme 3
1625,Scheme 2,Scheme 2
1626,Scheme 2,Scheme 2
1627,Scheme 2,Scheme 2
1630,Scheme 3,Scheme 3
1632,Scheme 2,Scheme 2
1633,Scheme 2,Scheme 2
1635,Scheme 2,Scheme 2
1636,Scheme 2,Scheme 2
1638,Scheme 2,Scheme 2
1639,Scheme 3,Scheme 3
1640,Scheme 3,Scheme 3
1642,Scheme 2,Scheme 2
1645,Scheme 2,Scheme 3
1646,Scheme 3,Scheme 3
1647,Scheme 2,Scheme 3
1648,Scheme 3,Scheme 3
1650,Scheme 2,Scheme 2
1652,Scheme 3,Scheme 3
1653,Scheme 1,Scheme 1
1654,Scheme 3,Scheme 3
1655,Scheme 3,Scheme 3
1656,Scheme 2,Scheme 2
1658,Scheme 2,Scheme 2
1659,Scheme 2,Scheme 2
1663,Scheme 2,Scheme 2
1664,Scheme 2,Scheme 2
1666,Scheme 3,Scheme 3
1670,Scheme 1,Scheme 1
1671,Scheme 2,Scheme 2
1672,Scheme 1,Scheme 1
1673,Scheme 2,Scheme 2
1676,Scheme 3,Scheme 3
1677,Scheme 1,Scheme 1
1679,Scheme 2,Scheme 2
1680,Scheme 3,Scheme 3
1683,Scheme 2,Scheme 2
1684,Scheme 3,Scheme 3
1685,Scheme 3,Scheme 3
1686,Scheme 3,Scheme 3
1690,Scheme 2,Scheme 2
1692,Scheme 3,Scheme 3
1694,Scheme 3,Scheme 3
1695,Scheme 2,Scheme 2
1697,Scheme 2,Scheme 2
1699,Scheme 1,Scheme 1
1701,Scheme 2,Scheme 2
1704,Scheme 2,Scheme 2
1705,Scheme 2,Scheme 2
1707,Scheme 1,Scheme 1
1710,Scheme 3,Scheme 3
1711,Scheme 3,Scheme 3
1715,Scheme 2,Scheme 2
1718,Scheme 2,Scheme 2
1722,Scheme 2,Scheme 2
1726,Scheme 2,Scheme 2
1731,Scheme 3,Scheme 3
1733,Scheme 3,Scheme 3
1734,Scheme 3,Scheme 3
1738,Scheme 2,Scheme 2
1743,Scheme 3,Scheme 3
1746,Scheme 2,Scheme 2
1747,Scheme 2,Scheme 2
1748,Scheme 2,Scheme 2
1749,Scheme 2,Scheme 2
1759,Scheme 2,Scheme 2
1761,Scheme 2,Scheme 2
1230,Scheme 1,Scheme 1
87,Scheme 1,Scheme 1
640,Scheme 1,Scheme 1
990,Scheme 1,Scheme 1
354,Scheme 1,Scheme 1
905,Scheme 1,Scheme 1
926,Scheme 1,Scheme 1
521,Scheme 1,Scheme 1
590,Scheme 1,Scheme 1
912,Scheme 1,Scheme 1
316,Scheme 1,Scheme 1
857,Scheme 1,Scheme 1
580,Scheme 1,Scheme 1
273,Scheme 1,Scheme 1
797,Scheme 1,Scheme 1
1060,Scheme 1,Scheme 1
444,Scheme 1,Scheme 1
780,Scheme 1,Scheme 1
1689,Scheme 1,Scheme 1
963,Scheme 1,Scheme 1
546,Scheme 1,Scheme 1
327,Scheme 1,Scheme 1
1001,Scheme 1,Scheme 1
1139,Scheme 1,Scheme 1
1400,Scheme 1,Scheme 1
1643,Scheme 1,Scheme 1
1114,Scheme 1,Scheme 1
314,Scheme 1,Scheme 1
1482,Scheme 1,Scheme 1
270,Scheme 1,Scheme 1
704,Scheme 1,Scheme 1
155,Scheme 1,Scheme 1
34,Scheme 1,Scheme 1
1154,Scheme 1,Scheme 1
1003,Scheme 1,Scheme 1
1628,Scheme 1,Scheme 1
840,Scheme 1,Scheme 1
1224,Scheme 1,Scheme 1
1091,Scheme 1,Scheme 1
1411,Scheme 1,Scheme 1
677,Scheme 1,Scheme 1
1369,Scheme 1,Scheme 1
490,Scheme 1,Scheme 1
1668,Scheme 1,Scheme 1
575,Scheme 1,Scheme 1
555,Scheme 1,Scheme 1
560,Scheme 1,Scheme 1
688,Scheme 1,Scheme 1
1361,Scheme 1,Scheme 1
1725,Scheme 1,Scheme 1
1523,Scheme 1,Scheme 1
69,Scheme 1,Scheme 1
652,Scheme 1,Scheme 1
1236,Scheme 1,Scheme 1
416,Scheme 1,Scheme 1
81,Scheme 1,Scheme 1
176,Scheme 1,Scheme 1
685,Scheme 1,Scheme 1
1198,Scheme 1,Scheme 1
967,Scheme 1,Scheme 1
1450,Scheme 1,Scheme 1
1493,Scheme 1,Scheme 1
1544,Scheme 1,Scheme 1
415,Scheme 1,Scheme 1
468,Scheme 1,Scheme 1
893,Scheme 1,Scheme 1
844,Scheme 1,Scheme 1
603,Scheme 1,Scheme 1
690,Scheme 1,Scheme 1
1173,Scheme 1,Scheme 1
85,Scheme 1,Scheme 1
1208,Scheme 1,Scheme 1
1430,Scheme 1,Scheme 1
1534,Scheme 1,Scheme 1
1477,Scheme 1,Scheme 1
250,Scheme 1,Scheme 1
370,Scheme 1,Scheme 1
1613,Scheme 1,Scheme 1
695,Scheme 1,Scheme 1
903,Scheme 1,Scheme 1
1088,Scheme 1,Scheme 1
1279,Scheme 1,Scheme 1
1122,Scheme 1,Scheme 1
597,Scheme 1,Scheme 1
1745,Scheme 1,Scheme 1
102,Scheme 1,Scheme 1
1053,Scheme 1,Scheme 1
1437,Scheme 1,Scheme 1
1702,Scheme 1,Scheme 1
1413,Scheme 1,Scheme 1
1448,Scheme 1,Scheme 1
1700,Scheme 1,Scheme 1
96,Scheme 1,Scheme 1
1577,Scheme 1,Scheme 1
145,Scheme 1,Scheme 1
466,Scheme 1,Scheme 1
297,Scheme 1,Scheme 1
663,Scheme 1,Scheme 1
1539,Scheme 1,Scheme 1
744,Scheme 1,Scheme 1
1284,Scheme 1,Scheme 1
387,Scheme 1,Scheme 1
8,Scheme 1,Scheme 1
17,Scheme 1,Scheme 1
26,Scheme 1,Scheme 1
29,Scheme 1,Scheme 1
36,Scheme 1,Scheme 1
37,Scheme 1,Scheme 1
39,Scheme 1,Scheme 1
43,Scheme 1,Scheme 1
45,Scheme 1,Scheme 1
46,Scheme 1,Scheme 1
48,Scheme 1,Scheme 1
50,Scheme 1,Scheme 1
51,Scheme 1,Scheme 1
55,Scheme 1,Scheme 1
57,Scheme 1,Scheme 1
86,Scheme 1,Scheme 1
100,Scheme 1,Scheme 1
101,Scheme 1,Scheme 1
107,Scheme 1,Scheme 1
114,Scheme 1,Scheme 1
124,Scheme 1,Scheme 1
126,Scheme 1,Scheme 1
127,Scheme 1,Scheme 1
128,Scheme 1,Scheme 1
130,Scheme 1,Scheme 1
148,Scheme 1,Scheme 1
149,Scheme 1,Scheme 1
153,Scheme 1,Scheme 1
163,Scheme 1,Scheme 1
170,Scheme 1,Scheme 1
172,Scheme 1,Scheme 1
180,Scheme 1,Scheme 1
189,Scheme 1,Scheme 1
193,Scheme 1,Scheme 1
241,Scheme 1,Scheme 1
264,Scheme 1,Scheme 1
279,Scheme 1,Scheme 1
296,Scheme 1,Scheme 1
306,Scheme 1,Scheme 1
312,Scheme 1,Scheme 1
321,Scheme 1,Scheme 1
324,Scheme 1,Scheme 1
330,Scheme 1,Scheme 1
332,Scheme 1,Scheme 1
336,Scheme 1,Scheme 1
360,Scheme 1,Scheme 1
368,Scheme 1,Scheme 1
397,Scheme 1,Scheme 1
403,Scheme 1,Scheme 1
413,Scheme 1,Scheme 1
427,Scheme 1,Scheme 1
433,Scheme 1,Scheme 1
445,Scheme 1,Scheme 1
453,Scheme 1,Scheme 1
454,Scheme 1,Scheme 1
465,Scheme 1,Scheme 1
478,Scheme 1,Scheme 1
479,Scheme 1,Scheme 1
486,Scheme 1,Scheme 1
515,Scheme 1,Scheme 1
516,Scheme 1,Scheme 1
518,Scheme 1,Scheme 1
538,Scheme 1,Scheme 1
544,Scheme 1,Scheme 1
592,Scheme 1,Scheme 1
596,Scheme 1,Scheme 1
599,Scheme 1,Scheme 1
609,Scheme 1,Scheme 1
629,Scheme 1,Scheme 1
647,Scheme 1,Scheme 1
662,Scheme 1,Scheme 1
697,Scheme 1,Scheme 1
710,Scheme 1,Scheme 1
724,Scheme 1,Scheme 1
734,Scheme 1,Scheme 1
739,Scheme 1,Scheme 1
765,Scheme 1,Scheme 1
779,Scheme 1,Scheme 1
789,Scheme 1,Scheme 1
807,Scheme 1,Scheme 1
808,Scheme 1,Scheme 1
812,Scheme 1,Scheme 1
820,Scheme 1,Scheme 1
830,Scheme 1,Scheme 1
843,Scheme 1,Scheme 1
874,Scheme 1,Scheme 1
878,Scheme 1,Scheme 1
881,Scheme 1,Scheme 1
887,Scheme 1,Scheme 1
901,Scheme 1,Scheme 1
904,Scheme 1,Scheme 1
920,Scheme 1,Scheme 1
930,Scheme 1,Scheme 1
947,Scheme 1,Scheme 1
955,Scheme 1,Scheme 1
956,Scheme 1,Scheme 1
957,Scheme 1,Scheme 1
959,Scheme 1,Scheme 1
968,Scheme 1,Scheme 1
1004,Scheme 1,Scheme 1
1005,Scheme 1,Scheme 1
1015,Scheme 1,Scheme 1
1017,Scheme 1,Scheme 1
1025,Scheme 1,Scheme 1
1035,Scheme 1,Scheme 1
1046,Scheme 1,Scheme 1
1058,Scheme 1,Scheme 1
1080,Scheme 1,Scheme 1
1087,Scheme 1,Scheme 1
1092,Scheme 1,Scheme 1
1093,Scheme 1,Scheme 1
1102,Scheme 1,Scheme 1
1106,Scheme 1,Scheme 1
1107,Scheme 1,Scheme 1
1127,Scheme 1,Scheme 1
1138,Scheme 1,Scheme 1
1142,Scheme 1,Scheme 1
1151,Scheme 1,Scheme 1
1152,Scheme 1,Scheme 1
1153,Scheme 1,Scheme 1
1161,Scheme 1,Scheme 1
1183,Scheme 1,Scheme 1
1184,Scheme 1,Scheme 1
1192,Scheme 1,Scheme 1
1209,Scheme 1,Scheme 1
1215,Scheme 1,Scheme 1
1227,Scheme 1,Scheme 1
1232,Scheme 1,Scheme 1
1242,Scheme 1,Scheme 1
1251,Scheme 1,Scheme 1
1256,Scheme 1,Scheme 1
1277,Scheme 1,Scheme 1
1283,Scheme 1,Scheme 1
1285,Scheme 1,Scheme 1
1286,Scheme 1,Scheme 1
1293,Scheme 1,Scheme 1
1302,Scheme 1,Scheme 1
1314,Scheme 1,Scheme 1
1326,Scheme 1,Scheme 1
1330,Scheme 1,Scheme 1
1348,Scheme 1,Scheme 1
1360,Scheme 1,Scheme 1
1368,Scheme 1,Scheme 1
1378,Scheme 1,Scheme 1
1388,Scheme 1,Scheme 1
1412,Scheme 1,Scheme 1
1423,Scheme 1,Scheme 1
1426,Scheme 1,Scheme 1
1455,Scheme 1,Scheme 1
1461,Scheme 1,Scheme 1
1462,Scheme 1,Scheme 1
1465,Scheme 1,Scheme 1
1490,Scheme 1,Scheme 1
1503,Scheme 1,Scheme 1
1515,Scheme 1,Scheme 1
1564,Scheme 1,Scheme 1
1593,Scheme 1,Scheme 1
1611,Scheme 1,Scheme 1
1618,Scheme 1,Scheme 1
1631,Scheme 1,Scheme 1
1662,Scheme 1,Scheme 1
1687,Scheme 1,Scheme 1
1709,Scheme 1,Scheme 1
1713,Scheme 1,Scheme 1
1721,Scheme 1,Scheme 1
1723,Scheme 1,Scheme 1
1724,Scheme 1,Scheme 1
1732,Scheme 1,Scheme 1
